formula,problem,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
mom*sqrt(Bx**2+By**2+Bz**2),feynman_III_10_19,(0.15950488382862343 add (((0.08165692756471979 mul x_0) add (-0.020467861378684147 mul abs((-0.008687093316091549 add (-3.5676573979356085 mul x_0))))) mul ((65.4761782999632 mul x_2) add ((64.2130058746411 mul x_1) add (0.7293191276350968 mul abs((-55.017958343665725 add (-91.37171777316432 mul x_3)))))))),0.001202122,0.992733721,0,0,0,1,31,0.992706048,0,0,0,1,31,72.54664111,4
n*(h/(2*pi)),feynman_III_12_43,(-4.326130654718513e-05 add (((3.5454789829316604e-06 mul x_0) sub (-0.3599528556442884 mul x_1)) mul abs((-1.1190098044745723e-05 add (-0.4421568001925351 mul x_0))))),1.15E-10,1,1,1,1,1,16,1,1,1,1,1,16,20.64788842,2
2*E_n*d**2*k/(h/(2*pi)),feynman_III_13_18,(-8.93122586658086 add (((0.06409756075495886 add (0.9998494596759993 mul x_1)))**2 mul (((2.0492189260992593 add (0.7054901214221632 mul x_2)))**2 mul (inv((0.1550284317947629 add (4.975175347661967 mul x_3))) mul ((2.69993286079012 add (0.9239369561486158 mul x_0)))**2)))),0.002042853,0.996479939,0,0,0,0,29,0.996686629,0,0,0,0,29,49.01555514,4
I_0*(exp(q*Volt/(kb*T))-1),feynman_III_14_14,(0.009605960541345868 add ((0.48863611299896625 mul x_0) add (1.7053716309968098e-08 mul (exp(((1.4832687747467352 mul x_1) add (1.5718307221140273 mul x_2))) mul exp(((13.226225554741129 mul exp(((-0.46776073368719423 mul x_4) add (-0.4713933755957107 mul x_3)))) add (-8.573071879136307 mul arctan((-1.9337075964626236 add (-0.6397116251531568 mul x_0)))))))))),0.004996124,0.99002825,0,0,0,0,37,0.990788446,0,0,0,0,37,534.2026131,5
2*U*(1-cos(k*d)),feynman_III_15_12,(-4.7241027822773247e-07 add (abs((4.043859143641952e-07 add (2.3698383211287246 mul x_0))) mul abs(((-19.409720073422964 mul inv((-22.99894902859211 add (1.6654977977026414e-08 mul (x_2 mul x_1))))) add (-0.8439393831764764 mul cos((1.294794962335086e-08 add (0.9999999998327077 mul (x_2 mul x_1))))))))),2.18E-16,1,1,1,1,1,31,1,1,1,1,1,31,371.7736666,3
(h/(2*pi))**2/(2*E_n*d**2),feynman_III_15_14,(((0.013160200296808113 add (2.1375123955873208 mul (x_0 mul inv((-0.42844307831340717 add (8.205481650391633 mul x_2)))))))**2 mul (((0.005298543808194993 mul x_1) add (0.7477609720516651 mul inv((1.179185738824795 add (0.7387441411195924 mul x_1))))))**2),0.000782678,0.998928335,1,0,0,0,27,0.998935809,1,0,0,0,27,115.1378479,3
2*pi*alpha/(n*d),feynman_III_15_27,(-0.10409516817734937 add (inv((0.047433049133120735 add (1.9972966903040252 mul x_2))) mul exp(((0.318007003391239 mul x_0) add (-10.580241016819517 mul inv((-2.620451056303644 add (-1.4101536855131926 mul x_1)))))))),0.003611737,0.991626142,0,0,0,0,22,0.991707023,0,0,0,0,22,31.52173638,3
beta*(1+alpha*cos(theta)),feynman_III_17_37,(2.657455142180346 add (sin((0.00012434181325627426 add (-0.00035339538275878875 mul x_1))) mul (((-6.845326268229031 mul x_1) sub (-3.5156422480823895 mul ((-4.348666259285662 add (-0.9952564421510942 mul x_0)))**2)) mul ((-68.3107640053858 mul cos((-0.3842525664604426 add (-0.8791181140203884 mul x_2)))) sub (4.2978228302821355 mul x_0))))),0.008899584,0.990733013,0,0,0,0,34,0.990629083,0,0,0,0,34,341.2888944,3
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),feynman_III_19_51,(0.011622705034448224 add (inv((-1.773257629828853 add (0.11706557887749208 mul (((-1.6097236492691467 add (-15.729914438126496 mul x_3)))**2 mul ((0.0018838101956306845 add (0.41574398276054847 mul (x_4 mul x_2))))**2)))) mul ((20.486016770173343 mul x_0) sub (6.841904152526628 mul exp(((0.8692800260319183 mul x_1) add (0.30895344264072977 mul x_0))))))),0.008068954,0.991538024,0,0,0,0,37,0.991728978,0,0,0,0,37,1375.25096,5
#NAME?,feynman_III_21_20,(0.31856831091111093 add ((inv((-0.08505489964864604 add (-3.0912114022402517 mul x_3))) mul ((3.7309024535091244 add (1.2284074216474392 mul x_1)))**2) mul (((-0.3845232007052551 add (-0.12848595653891695 mul x_2)))**2 mul abs((-0.054558176743088084 add (-0.8083084090090477 mul x_0)))))),0.001986534,0.995740438,0,0,0,0,29,0.995750904,0,0,0,0,29,78.26568961,4
