formula,problem,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
???,strogatz_bacres1,(-9.66512116841099 add (((-0.014097528994517272 mul x_1) add (2.300041963947037 mul arctan((0.5710881772560762 add (0.01657534752307225 mul x_0))))) mul abs((21.693470456267804 add (-0.8294260259580752 mul x_0))))),0.000169494,0.999822638,0,0,0,1,21,0.997563284,0,0,0,1,21,90.28856421,2
???,strogatz_bacres2,(10.031052234999434 add ((-0.1235749135156055 mul x_1) add ((-0.002305808581495674 mul x_0) sub (0.003981071591489098 mul (x_1 mul ((-0.6870464481560808 mul x_0) sub (-9.510613069828842 mul inv((0.06877740588637982 add (0.0030909822121435483 mul (x_0 mul x_0))))))))))),1.06E-07,0.999999468,1,1,1,1,28,0.999767209,1,1,1,1,28,43.12966228,2
???,strogatz_barmag1,(0.40676608042195983 add (((2.2164574149206886 add (2.31839578230836 mul x_1)))**2 mul ((-0.012271907632593297 mul x_0) sub (0.07484818539157258 mul cos((-0.4093289919350992 add (-0.6365065777196768 mul (x_0 mul inv((0.940934507910582 add (0.09211423862735461 mul x_1))))))))))),0.001234195,0.998088476,0,0,0,0,28,0.999033977,0,0,0,0,28,846.9208057,2
???,strogatz_barmag2,(-0.4399972245637187 add (((-2957.985244065275 mul inv((-1490.9779647069536 add (-5.749562433553708 mul x_1)))) add (-0.2879207206379423 mul x_0)) mul ((0.15982902538071203 mul x_0) add (1.8136410164581975 mul cos(((344019.04275132436 mul inv((13976.57421872659 add (-66073.14501222147 mul x_0)))) add (-9.87447630068932 mul (x_1 mul inv((10.47055159492338 add (-0.042370689818796055 mul x_1))))))))))),0.000532704,0.999465609,0,0,0,0,41,0.999022238,0,0,0,0,41,657.1170678,2
???,strogatz_glider1,(0.3025913304378331 add (((5.901743052012099 mul x_0) sub (21.541323703463288 mul cos((4.683140024630546 add (-0.9957126971043776 mul x_1))))) mul cos((-7.902353500388249 add (7.550580169392976e-05 mul (x_0 mul x_1)))))),0.006572764,0.992353201,0,0,0,0,23,0.992032555,0,0,0,0,23,690.0137758,2
???,strogatz_glider2,(-7.42369996476904e-07 add ((-2.3918703181240877e-07 mul cos((-7.3161349853647515 add (7.165889377858073 mul x_0)))) sub ((-2.2687740126839895 mul (inv((4.7581921237237727e-07 add (2.2687733212748213 mul x_0))) mul cos((-3.141593290609599 add (0.9999999980185138 mul x_1))))) add (-1.0000002944373163 mul x_0)))),7.01E-14,1,1,1,1,1,30,1,1,1,1,1,30,1572.162301,2
???,strogatz_lv1,(16589.659602036278 add ((-134.2046936929905 mul x_0) add (-9595.986290089502 mul inv(((16.64426500580436 mul exp((-3.35950088713959 add (-0.00012876259144141574 mul (x_1 mul x_0))))) add (0.004795311992300924 mul x_0)))))),6.89E-05,0.999930579,0,0,0,0,23,0.99877268,0,0,0,0,23,55.10331964,2
???,strogatz_lv2,(-213.10192284626285 add (inv((1.1056239361576412 add (0.0688916346855211 mul x_1))) mul inv(((9.26245330709968 mul exp((-9.042539455122654 add (-0.2808987813151968 mul x_1)))) add (2.9941471823114827 mul exp((-6.857249288477059 add (0.005818626405834228 mul (x_0 mul x_1))))))))),0.00033499,0.999660485,0,0,0,0,29,0.998139481,0,0,0,0,29,50.15909266,2
???,strogatz_predprey1,(-0.011712023926667816 add (((-0.045829126092796366 mul x_1) add (-0.2876751665869816 mul cos((-2.348073643762208 add (-0.5522815394481925 mul x_0))))) mul ((3.0311441315329044 mul x_0) add ((3.7361718326277464 mul sin((0.06320551712344515 add (-0.38090783139242795 mul x_1)))) sub (2.9972908864489223 mul (sin((1.3763770184815511 add (0.12054434275330367 mul x_1))) mul ((-1.2369339584168986 mul x_0) add (-2.346894476118129 mul cos((1.0186534952497897 add (-0.8732758895314718 mul x_0))))))))))),0.000419255,0.999571939,0,0,0,0,49,0.999037724,0,0,0,0,49,399.4260075,2
???,strogatz_predprey2,(-0.12445082787577927 add (((-0.15535306663971518 mul x_1) add (1.2326006580194808 mul arctan((0.07045254444149783 add (1.1976300124617074 mul x_0))))) mul exp(((-0.01012616561507101 mul x_0) add (0.16877061801433818 mul x_1))))),0.004557673,0.995077325,0,0,0,0,23,0.994715204,0,0,0,0,23,51.5027504,2
???,strogatz_shearflow1,(0.0588215035508476 add (((0.7868416846078446 add (-1.532668828876478 mul (cos((-3.5826569944181346 add (1.747494977686532 mul x_1))) mul cos((0.16145208774307096 add (-0.3479962909630909 mul x_0)))))))**3 mul sin((-2.156760983559684 add (1.2876301870575082 mul x_1))))),0.043747999,0.956218213,0,0,0,0,27,0.962773306,0,0,0,0,27,2060.822955,2
???,strogatz_shearflow2,(0.001730771628926788 add (((-0.40248589610439056 add (0.20395362239926348 mul (cos((3.154385737321293 add (-2.021038898547988 mul x_1))) mul cos((0.08544398161829331 add (-0.016422539313629716 mul x_1)))))))**2 mul ((0.0009360583912459213 mul x_1) add (3.091316758560134 mul sin((3.153331545313248 add (-0.9958455489698509 mul x_0))))))),0.006927207,0.992936749,0,0,0,0,33,0.99253288,0,0,0,0,33,445.6973495,2
???,strogatz_vdp1,((((6.962611656899529e-07 mul inv((-2.8040100163553303 add (-10.277259316162107 mul x_0)))) add (-172.66279189783424 mul exp((2.61534808259132 add (0.04395174168534373 mul (x_1 mul ((-0.4587548409840221 add (2.7979535225339574e-05 mul x_0)))**3)))))) add (3.342352838859499 mul x_0)) add (12.403643646791233 mul ((13.795590721065555 add (-0.00976546973385621 mul ((x_0 mul x_0) mul x_0))))**2)),1.43E-06,0.999998574,1,0,0,1,41,0.999998239,1,0,0,1,41,156.0375819,2
???,strogatz_vdp2,(2.376696549539128e-05 add ((-7.856767716647712e-05 mul sin((0.2996526771416084 add (0.19957589044055482 mul x_1)))) sub (0.09999787765525013 mul x_0))),1.09E-09,0.999999999,1,1,1,1,14,0.999999999,1,1,1,1,14,13.74678469,2
